"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"2015F","US","DFRCB"," 1568195"," 1609532"," 1687826"," 1682994"," 1632474"," 1712526"," 1692532"," 1778353"," 1847103"," 1838429"," 1877906"," 1896526"," 1996276"," 2003349"," 1843797"," 1806575"," 1986664"," 1994213"," 1950706"," 1626015"," 1316116"," 1147122"," 1049844"," 924410"," 1090599"," 1092379"," 1111446"," 1155620"," 1190069"," 1160079"," 978128"," 930367"," 979662"," 973803"," 958978"," 903979"," 925213"," 873693"," 771112"," 826903"," 903867"," 907389"," 858949"," 931078"," 922678"," 853158"," 709397"," 720971"," 749804"," 582182"," 561405"," 522512"," 482080"," 491020"," 532530"," 550848"
"2015F","US","DFRCP"," 269218"," 276315"," 289756"," 288926"," 280253"," 293996"," 290563"," 305297"," 317099"," 315610"," 322387"," 325584"," 342708"," 343923"," 316532"," 310142"," 341058"," 342354"," 334885"," 279144"," 225943"," 196931"," 180231"," 158697"," 187227"," 187533"," 190806"," 198390"," 204304"," 199155"," 167919"," 159720"," 168182"," 167176"," 164773"," 155323"," 158971"," 150119"," 132516"," 142104"," 155330"," 155936"," 147611"," 160007"," 158590"," 146641"," 122247"," 124649"," 129724"," 100706"," 97179"," 90494"," 83535"," 85113"," 92325"," 95501"
"2015F","US","DFTCB"," 3991686"," 4044624"," 4266259"," 4352755"," 4371220"," 4519117"," 4644739"," 4765724"," 5094190"," 5244026"," 5401004"," 5657916"," 6210091"," 6574759"," 6267211"," 6061326"," 6679498"," 7125886"," 7296139"," 7039256"," 6110279"," 6014173"," 5678583"," 5719725"," 6065095"," 6097767"," 6196291"," 6328356"," 6655121"," 6711705"," 6422080"," 6209922"," 6350840"," 6466000"," 6717543"," 6811839"," 7168372"," 7297919"," 7351882"," 7586690"," 7927311"," 8170353"," 8019781"," 8340797"," 8641615"," 8744885"," 8830605"," 8858242"," 8346459"," 7661814"," 8013363"," 8216875"," 7902565"," 8059437"," 8499696"," 8411255"
"2015F","US","DFTCP"," 685268"," 694356"," 732405"," 747254"," 750424"," 775814"," 797380"," 818150"," 874539"," 900262"," 927211"," 971316"," 1066110"," 1128714"," 1075916"," 1040571"," 1146695"," 1223328"," 1252556"," 1208456"," 1048975"," 1032476"," 974864"," 981927"," 1041218"," 1046827"," 1063741"," 1086413"," 1142510"," 1152224"," 1102503"," 1066081"," 1090273"," 1110043"," 1154217"," 1170419"," 1231679"," 1253938"," 1263427"," 1303779"," 1362315"," 1404082"," 1378206"," 1433373"," 1485324"," 1503074"," 1521731"," 1531508"," 1444024"," 1325344"," 1387115"," 1423082"," 1369358"," 1397025"," 1473595"," 1458262"
"2015F","US","DFTXB"," 3969413"," 4023024"," 4243484"," 4328097"," 4346113"," 4490410"," 4607980"," 4722662"," 5036929"," 5156877"," 5260486"," 5458215"," 5950042"," 6337629"," 5987857"," 5853193"," 6460423"," 6878454"," 7045580"," 6878957"," 5952390"," 5894160"," 5591792"," 5623541"," 5976612"," 6012520"," 6112843"," 6238844"," 6545791"," 6559349"," 6325575"," 6126282"," 6277309"," 6379504"," 6597580"," 6703863"," 7059071"," 7187405"," 7216301"," 7446698"," 7752646"," 8000006"," 7892482"," 8180008"," 8530451"," 8630414"," 8757217"," 8769592"," 8273935"," 7592239"," 7933698"," 8153242"," 7850162"," 8004065"," 8417591"," 8340929"
"2015F","US","DFTXP"," 681444"," 690648"," 728495"," 743021"," 746114"," 770886"," 791069"," 810757"," 864709"," 885301"," 903088"," 937033"," 1021466"," 1088005"," 1027958"," 1004840"," 1109086"," 1180850"," 1209542"," 1180937"," 1021870"," 1011873"," 959964"," 965415"," 1026028"," 1032192"," 1049415"," 1071046"," 1123741"," 1126068"," 1085936"," 1051722"," 1077650"," 1095194"," 1133605"," 1151866"," 1212899"," 1234949"," 1240127"," 1279721"," 1332299"," 1374808"," 1356330"," 1405741"," 1466217"," 1483399"," 1509085"," 1516181"," 1431477"," 1313309"," 1373325"," 1412061"," 1360278"," 1387427"," 1459360"," 1446069"
"2015F","US","DKEIB"," 22273"," 21599"," 22775"," 24658"," 25107"," 28707"," 36759"," 43062"," 57261"," 87149"," 140518"," 199701"," 310064"," 273129"," 308668"," 226141"," 243082"," 283487"," 276107"," 178284"," 168923"," 124038"," 89269"," 96184"," 88483"," 85247"," 83448"," 89512"," 109329"," 152356"," 96504"," 83640"," 73531"," 86496"," 119963"," 107976"," 109300"," 110514"," 135581"," 139992"," 174665"," 170347"," 127298"," 160789"," 111164"," 114470"," 73388"," 88650"," 72524"," 69574"," 79665"," 63633"," 52404"," 55372"," 82105"," 70327"
"2015F","US","DKEIP"," 3824"," 3708"," 3910"," 4233"," 4310"," 4928"," 6311"," 7393"," 9830"," 14961"," 24123"," 34283"," 53465"," 47058"," 53128"," 38907"," 41843"," 48837"," 47520"," 30691"," 29051"," 21313"," 15337"," 16512"," 15190"," 14635"," 14326"," 15367"," 18769"," 26156"," 16567"," 14359"," 12623"," 14849"," 20612"," 18553"," 18780"," 18989"," 23300"," 24058"," 30016"," 29274"," 21876"," 27632"," 19107"," 19675"," 12646"," 15327"," 12547"," 12035"," 13790"," 11021"," 9080"," 9598"," 14235"," 12193"
"2015F","US","ELEXB"," 2689"," 3127"," 5666"," 6773"," 14513"," 12622"," 10838"," 14843"," 14619"," 13069"," 14363"," 11990"," 9584"," 8769"," 9302"," 17344"," 8115"," 9361"," 5043"," 7444"," 13974"," 10441"," 12066"," 11387"," 8729"," 16940"," 16431"," 20070"," 24111"," 51639"," 55048"," 7863"," 9641"," 12082"," 6858"," 12361"," 11266"," 30619"," 46596"," 48525"," 50598"," 56207"," 53895"," 81802"," 78128"," 65343"," 82814"," 68730"," 82564"," 61887"," 65190"," 51346"," 40929"," 38805"," 45374"," 31109"
"2015F","US","ELEXP"," 788"," 917"," 1661"," 1985"," 4253"," 3699"," 3176"," 4350"," 4285"," 3830"," 4209"," 3514"," 2809"," 2570"," 2726"," 5083"," 2378"," 2744"," 1478"," 2182"," 4096"," 3060"," 3536"," 3337"," 2558"," 4965"," 4816"," 5882"," 7067"," 15135"," 16134"," 2305"," 2826"," 3541"," 2010"," 3623"," 3302"," 8974"," 13656"," 14222"," 14829"," 16473"," 15796"," 23975"," 22898"," 19151"," 24271"," 20144"," 24198"," 18138"," 19106"," 15049"," 11996"," 11373"," 13298"," 9118"
"2015F","US","ELIMB"," 18163"," 10816"," 7495"," 7107"," 21184"," 12140"," 14563"," 13823"," 12467"," 16725"," 21051"," 24035"," 35811"," 57484"," 52612"," 38446"," 37493"," 68783"," 72360"," 76824"," 85373"," 123847"," 112092"," 131934"," 144052"," 156595"," 138912"," 178171"," 132510"," 89089"," 62936"," 74829"," 96377"," 106992"," 159795"," 146216"," 148410"," 146823"," 134819"," 147449"," 165797"," 131363"," 125491"," 103706"," 116725"," 149887"," 145663"," 175362"," 194550"," 178074"," 153824"," 178447"," 202185"," 236278"," 226933"," 257928"
"2015F","US","ELIMP"," 5323"," 3170"," 2197"," 2083"," 6209"," 3558"," 4268"," 4051"," 3654"," 4902"," 6170"," 7044"," 10495"," 16848"," 15420"," 11268"," 10988"," 20159"," 21208"," 22516"," 25021"," 36298"," 32852"," 38668"," 42219"," 45895"," 40713"," 52219"," 38837"," 26110"," 18445"," 21931"," 28247"," 31358"," 46833"," 42854"," 43497"," 43031"," 39513"," 43215"," 48592"," 38500"," 36779"," 30395"," 34210"," 43929"," 42691"," 51396"," 57019"," 52191"," 45083"," 52300"," 59257"," 69249"," 66510"," 75594"
"2015F","US","ELISB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2015F","US","ELISP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2015F","US","ELNIB"," 15474"," 7689"," 1829"," 334"," 6671","-482"," 3725","-1020","-2152"," 3656"," 6688"," 12046"," 26227"," 48715"," 43311"," 21103"," 29378"," 59422"," 67318"," 69381"," 71399"," 113406"," 100026"," 120547"," 135323"," 139655"," 122481"," 158101"," 108399"," 37450"," 7888"," 66965"," 86737"," 94910"," 152937"," 133856"," 137144"," 116203"," 88224"," 98924"," 115199"," 75156"," 71596"," 21905"," 38597"," 84544"," 62849"," 106632"," 111986"," 116188"," 88634"," 127101"," 161256"," 197472"," 181559"," 226819"
"2015F","US","ELNIP"," 4535"," 2254"," 536"," 98"," 1955","-141"," 1092","-299","-631"," 1072"," 1960"," 3530"," 7687"," 14278"," 12694"," 6185"," 8610"," 17416"," 19730"," 20334"," 20926"," 33237"," 29316"," 35330"," 39661"," 40931"," 35897"," 46337"," 31770"," 10976"," 2312"," 19626"," 25421"," 27817"," 44823"," 39231"," 40195"," 34057"," 25857"," 28993"," 33763"," 22027"," 20984"," 6420"," 11312"," 24778"," 18420"," 31252"," 32821"," 34053"," 25977"," 37251"," 47261"," 57876"," 53212"," 66477"
"2015F","US","EMACB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6559"," 17999"," 33561"," 40953"," 49509"," 57178"," 65794"," 66825"," 67814"," 60254"," 69774"," 79277"," 93188"," 104446"," 112145"," 80484"," 101196"," 112221"," 117411"," 134597"," 140409"," 167052"," 227531"," 286229"," 327751"," 442386"," 557550"," 785783"," 893945"," 1041419"," 1044983"," 1044614"," 1071649"," 1093414"," 1109202"
"2015F","US","EMCCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 60"," 155"," 279"," 366"," 361"," 489"," 567"," 646"," 566"," 506"," 483"," 480"," 293"," 218"," 176"," 206"," 672"," 618"," 259"," 402"," 420"," 540"," 1088"," 903"," 605"," 1127"," 1373"," 2127"," 2819"," 3296"," 2895"," 2574"," 2658"," 3717"," 26211"
"2015F","US","EMICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 241"," 466"," 460"," 821"," 1089"," 1133"," 1259"," 1129"," 1200"," 980"," 1284"," 1583"," 1565"," 1772"," 1849"," 1202"," 1829"," 1744"," 1463"," 1535"," 2912"," 3600"," 4744"," 6197"," 6792"," 9107"," 9675"," 11709"," 12889"," 16502"," 16757"," 16659"," 17519"," 14157"," 17641"
"2015F","US","EMLCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5860"," 15784"," 28843"," 35162"," 42191"," 48299"," 55105"," 55458"," 55798"," 49127"," 56460"," 63665"," 74016"," 81955"," 85627"," 60897"," 79931"," 86451"," 89834"," 99179"," 107582"," 130036"," 167976"," 200975"," 227117"," 279906"," 368222"," 517598"," 601686"," 725970"," 753993"," 709127"," 706891"," 754861"," 773816"
"2015F","US","EMTCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6860"," 18620"," 34300"," 42140"," 50960"," 58800"," 67620"," 68600"," 69580"," 61740"," 71540"," 81340"," 95047"," 106436"," 114170"," 81892"," 103696"," 114583"," 119133"," 136533"," 143740"," 171191"," 233363"," 293328"," 335148"," 452620"," 568597"," 799619"," 909653"," 1061218"," 1064634"," 1063847"," 1091826"," 1111288"," 1153054"
"2015F","US","ENACP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1891"," 5190"," 9677"," 11808"," 14275"," 16486"," 18971"," 19268"," 19553"," 17373"," 20118"," 22858"," 26869"," 30115"," 32335"," 23206"," 29178"," 32357"," 33853"," 38809"," 40485"," 48166"," 65605"," 82529"," 94501"," 127554"," 160760"," 226567"," 258238"," 300443"," 301318"," 301166"," 308843"," 314947"," 319435"
"2015F","US","ENCCP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 17"," 45"," 80"," 106"," 104"," 141"," 163"," 186"," 163"," 146"," 139"," 138"," 84"," 63"," 51"," 59"," 194"," 178"," 75"," 116"," 121"," 156"," 314"," 260"," 174"," 325"," 396"," 613"," 814"," 951"," 835"," 742"," 766"," 1071"," 7549"
"2015F","US","ENICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 69"," 134"," 133"," 237"," 314"," 327"," 363"," 326"," 346"," 283"," 370"," 456"," 451"," 511"," 533"," 346"," 527"," 503"," 422"," 443"," 839"," 1038"," 1368"," 1787"," 1958"," 2626"," 2790"," 3376"," 3723"," 4761"," 4832"," 4803"," 5049"," 4078"," 5080"
"2015F","US","ENTCP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1978"," 5369"," 9890"," 12150"," 14693"," 16954"," 19497"," 19780"," 20062"," 17802"," 20627"," 23453"," 27405"," 30689"," 32919"," 23612"," 29899"," 33038"," 34350"," 39367"," 41445"," 49360"," 67286"," 84576"," 96634"," 130505"," 163945"," 230556"," 262776"," 306155"," 306984"," 306711"," 314658"," 320095"," 332064"
"2015F","US","ESACB"," 10460"," 10315"," 10166"," 9955"," 10011"," 9974"," 9642"," 10010"," 10215"," 10420"," 10627"," 10463"," 10372"," 10533"," 9721"," 10150"," 10060"," 10429"," 10027"," 10117"," 11069"," 10871"," 11002"," 12675"," 14293"," 14148"," 15058"," 15565"," 15930"," 16275"," 16212"," 16234"," 16055"," 16278"," 17039"," 16971"," 16797"," 16745"," 16929"," 17489"," 18362"," 18714"," 18866"," 23482"," 24647"," 25612"," 25104"," 27885"," 26113"," 26504"," 26315"," 26177"," 24976"," 26017"," 26469"," 26056"
"2015F","US","ESACP"," 3066"," 3023"," 2980"," 2918"," 2934"," 2923"," 2826"," 2934"," 2994"," 3054"," 3114"," 3066"," 3040"," 3087"," 2849"," 2975"," 2948"," 3056"," 2939"," 2965"," 3244"," 3186"," 3225"," 3715"," 4189"," 4147"," 4413"," 4562"," 4669"," 4770"," 4751"," 4758"," 4705"," 4771"," 4994"," 4974"," 4923"," 4908"," 4962"," 5126"," 5382"," 5485"," 5529"," 6882"," 7224"," 7506"," 7358"," 8173"," 7653"," 7768"," 7712"," 7672"," 7320"," 7625"," 7758"," 7637"
"2015F","US","ESCCB"," 542999"," 572043"," 620863"," 687563"," 737790"," 788603"," 859233"," 925179"," 1013959"," 1107733"," 1201163"," 1288009"," 1407566"," 1516652"," 1501335"," 1597825"," 1677942"," 1753866"," 1813271"," 1854121"," 1906093"," 2033237"," 2077046"," 2116437"," 2264475"," 2351282"," 2438628"," 2538757"," 2675108"," 2766641"," 2860153"," 2918093"," 2900225"," 3018755"," 3115518"," 3252038"," 3343968"," 3502847"," 3677989"," 3766240"," 3955691"," 4062865"," 4109820"," 4090059"," 4198209"," 4350570"," 4434725"," 4559507"," 4558887"," 4458981"," 4538640"," 4531332"," 4528069"," 4562113"," 4613564"," 4642884"
"2015F","US","ESCCP"," 159144"," 167656"," 181965"," 201513"," 216234"," 231126"," 251827"," 271154"," 297174"," 324658"," 352041"," 377494"," 412534"," 444505"," 440016"," 468296"," 491777"," 514029"," 531439"," 543412"," 558644"," 595908"," 608747"," 620292"," 663680"," 689121"," 714721"," 744067"," 784029"," 810856"," 838263"," 855244"," 850007"," 884746"," 913106"," 953118"," 980061"," 1026626"," 1077957"," 1103822"," 1159347"," 1190758"," 1204519"," 1198728"," 1230425"," 1275079"," 1299744"," 1336315"," 1336133"," 1306853"," 1330199"," 1328057"," 1327101"," 1337079"," 1352158"," 1360752"
"2015F","US","ESICB"," 1106859"," 1149250"," 1227821"," 1287790"," 1382027"," 1462817"," 1581815"," 1654872"," 1778105"," 1908623"," 1947755"," 2011197"," 2187017"," 2340923"," 2336794"," 2346363"," 2572883"," 2681959"," 2760575"," 2872573"," 2781005"," 2817436"," 2541765"," 2647710"," 2858697"," 2855066"," 2833770"," 2928291"," 3058852"," 3158347"," 3226120"," 3229743"," 3318900"," 3334084"," 3439232"," 3455310"," 3526750"," 3542328"," 3586705"," 3610635"," 3631185"," 3400431"," 3378691"," 3454218"," 3472903"," 3477360"," 3450547"," 3506963"," 3444469"," 3130225"," 3313807"," 3382369"," 3363256"," 3362021"," 3403730"," 3365964"
"2015F","US","ESICP"," 324402"," 336826"," 359854"," 377430"," 405049"," 428727"," 463603"," 485015"," 521133"," 559385"," 570854"," 589448"," 640978"," 686085"," 684875"," 687680"," 754069"," 786037"," 809078"," 841903"," 815066"," 825743"," 744949"," 775999"," 837836"," 836772"," 830531"," 858233"," 896498"," 925659"," 945522"," 946583"," 972714"," 977164"," 1007981"," 1012693"," 1033631"," 1038197"," 1051203"," 1058217"," 1064239"," 996609"," 990238"," 1012373"," 1017850"," 1019156"," 1011298"," 1027832"," 1009516"," 917416"," 971221"," 991316"," 985714"," 985352"," 997576"," 986508"
"2015F","US","ESRCB"," 687393"," 731686"," 794320"," 855568"," 927525"," 992935"," 1081223"," 1160469"," 1301916"," 1456024"," 1590983"," 1704403"," 1837735"," 1976337"," 1972763"," 2006735"," 2069215"," 2201555"," 2301276"," 2329778"," 2448086"," 2464367"," 2489120"," 2562235"," 2661673"," 2708902"," 2794729"," 2901600"," 3046459"," 3089650"," 3152752"," 3259884"," 3193423"," 3394192"," 3440939"," 3557015"," 3693530"," 3670903"," 3855932"," 3906478"," 4068627"," 4099882"," 4316794"," 4353111"," 4408241"," 4637683"," 4611386"," 4750326"," 4710818"," 4656555"," 4932757"," 4854597"," 4689844"," 4759099"," 4801395"," 4790777"
"2015F","US","ESRCP"," 201463"," 214445"," 232802"," 250753"," 271842"," 291013"," 316888"," 340114"," 381570"," 426736"," 466291"," 499532"," 538609"," 579231"," 578184"," 588140"," 606452"," 645239"," 674466"," 682819"," 717493"," 722265"," 729519"," 750948"," 780092"," 793934"," 819088"," 850410"," 892866"," 905525"," 924019"," 955417"," 935939"," 994781"," 1008482"," 1042501"," 1082512"," 1075880"," 1130109"," 1144923"," 1192446"," 1201607"," 1265180"," 1275824"," 1291982"," 1359227"," 1351520"," 1392241"," 1380662"," 1364758"," 1445708"," 1422801"," 1374515"," 1394812"," 1407208"," 1404096"
"2015F","US","ESTCB"," 2347711"," 2463294"," 2653170"," 2840876"," 3057353"," 3254329"," 3531913"," 3750529"," 4104196"," 4482799"," 4750527"," 5014071"," 5442688"," 5844445"," 5820612"," 5961073"," 6330100"," 6647808"," 6885149"," 7066590"," 7146253"," 7325911"," 7118934"," 7339057"," 7799137"," 7929399"," 8082185"," 8384213"," 8796349"," 9030913"," 9255237"," 9423954"," 9428603"," 9763310"," 10012728"," 10281334"," 10581045"," 10732823"," 11137555"," 11300841"," 11673865"," 11581891"," 11824170"," 11920869"," 12104000"," 12491225"," 12521763"," 12844681"," 12740287"," 12272265"," 12811519"," 12794475"," 12606145"," 12709249"," 12845157"," 12825682"
"2015F","US","ESTCP"," 688075"," 721950"," 777600"," 832613"," 896059"," 953789"," 1035145"," 1099217"," 1202871"," 1313833"," 1392300"," 1469540"," 1595161"," 1712909"," 1705924"," 1747091"," 1855246"," 1948361"," 2017922"," 2071099"," 2094447"," 2147102"," 2086440"," 2150955"," 2285796"," 2323974"," 2368753"," 2457272"," 2578063"," 2646809"," 2712555"," 2762003"," 2763365"," 2861462"," 2934563"," 3013287"," 3101127"," 3145610"," 3264231"," 3312087"," 3421414"," 3394458"," 3465466"," 3493807"," 3547479"," 3660969"," 3669919"," 3764561"," 3733965"," 3596795"," 3754841"," 3749846"," 3694650"," 3724868"," 3764700"," 3758992"
"2015F","US","ESTXB"," 2347711"," 2463294"," 2653170"," 2840876"," 3057353"," 3254329"," 3531913"," 3750529"," 4104196"," 4482799"," 4750527"," 5014071"," 5442688"," 5844445"," 5820612"," 5961073"," 6330100"," 6647808"," 6885149"," 7066590"," 7146253"," 7325911"," 7118934"," 7339057"," 7799137"," 7929399"," 8082185"," 8384213"," 8796349"," 9030913"," 9255237"," 9423954"," 9428603"," 9763310"," 10012728"," 10281334"," 10581045"," 10732823"," 11137555"," 11300841"," 11673865"," 11581891"," 11824170"," 11920869"," 12104000"," 12491225"," 12521763"," 12844681"," 12740287"," 12272265"," 12811519"," 12794475"," 12606145"," 12709249"," 12845157"," 12825682"
"2015F","US","ESTXP"," 688075"," 721950"," 777600"," 832613"," 896059"," 953789"," 1035145"," 1099217"," 1202871"," 1313833"," 1392300"," 1469540"," 1595161"," 1712909"," 1705924"," 1747091"," 1855246"," 1948361"," 2017922"," 2071099"," 2094447"," 2147102"," 2086440"," 2150955"," 2285796"," 2323974"," 2368753"," 2457272"," 2578063"," 2646809"," 2712555"," 2762003"," 2763365"," 2861462"," 2934563"," 3013287"," 3101127"," 3145610"," 3264231"," 3312087"," 3421414"," 3394458"," 3465466"," 3493807"," 3547479"," 3660969"," 3669919"," 3764561"," 3733965"," 3596795"," 3754841"," 3749846"," 3694650"," 3724868"," 3764700"," 3758992"
"2015F","US","FFTCB"," 42129587"," 42751574"," 44678748"," 46526235"," 48554307"," 50589096"," 53525669"," 55148924"," 58502685"," 61344411"," 63425554"," 64499368"," 67713053"," 70385437"," 67890327"," 65378553"," 69134800"," 71018151"," 71924886"," 72914384"," 69857405"," 67603609"," 63846682"," 63115659"," 66444894"," 66164842"," 66025633"," 68469033"," 71608289"," 72902171"," 72351887"," 71877911"," 73401200"," 74808431"," 76279650"," 77324688"," 79853513"," 81023683"," 81382478"," 82404349"," 84725860"," 82876832"," 83707389"," 83991900"," 85765039"," 85718219"," 84566642"," 85949172"," 83188681"," 78056484"," 80889934"," 79484268"," 77526699"," 79531348"," 80342065"," 79434479"
"2015F","US","FNICB"," 0"," 0"," 0"," 115571"," 129012"," 123438"," 209154"," 264232"," 291883"," 302122"," 300600"," 298197"," 304778"," 298202"," 324741"," 280831"," 384663"," 389806"," 393038"," 455070"," 474797"," 440517"," 316129"," 283744"," 276108"," 235798"," 341382"," 347900"," 355583"," 388583"," 347801"," 298947"," 377127"," 350593"," 398339"," 372965"," 479310"," 536377"," 583992"," 502076"," 613533"," 493716"," 582554"," 612956"," 749430"," 698666"," 628852"," 562454"," 477174"," 471869"," 490573"," 487319"," 453921"," 517836"," 442606"," 428058"
"2015F","US","FNICP"," 0"," 0"," 0"," 22022"," 24583"," 23521"," 39854"," 50349"," 55618"," 57569"," 57279"," 56821"," 58075"," 56822"," 61879"," 53512"," 73297"," 74277"," 74893"," 86713"," 90472"," 83940"," 60238"," 54067"," 52612"," 44931"," 65050"," 66292"," 67756"," 74044"," 66273"," 56964"," 71861"," 66805"," 75903"," 71068"," 91332"," 102206"," 111279"," 95670"," 116908"," 94077"," 111005"," 116798"," 142803"," 133130"," 119827"," 107175"," 90925"," 89914"," 93478"," 92858"," 86494"," 98673"," 84338"," 81566"
"2015F","US","FOICB"," 0"," 0"," 0"," 131785"," 147477"," 130643"," 139066"," 140115"," 160036"," 157823"," 182556"," 218705"," 296749"," 353455"," 327447"," 276909"," 361797"," 571858"," 711582"," 846361"," 858821"," 727665"," 521833"," 511720"," 470013"," 505260"," 610186"," 555297"," 583117"," 545453"," 753924"," 827296"," 814516"," 844077"," 838643"," 801013"," 729645"," 861244"," 818669"," 811143"," 722154"," 662454"," 632065"," 699379"," 779490"," 707982"," 790639"," 744091"," 647763"," 424776"," 452521"," 388528"," 287242"," 223919"," 247225"," 229039"
"2015F","US","FOICP"," 0"," 0"," 0"," 22624"," 25318"," 22428"," 23874"," 24054"," 27474"," 27094"," 31340"," 37546"," 50944"," 60679"," 56214"," 47538"," 62111"," 98173"," 122160"," 145298"," 147437"," 124921"," 89585"," 87849"," 80689"," 86740"," 104753"," 95330"," 100106"," 93640"," 129429"," 142025"," 139831"," 144906"," 143973"," 137513"," 125261"," 147853"," 140544"," 139252"," 123975"," 113726"," 108509"," 120065"," 133818"," 121542"," 135732"," 127741"," 111204"," 72923"," 77686"," 66700"," 49312"," 38441"," 42442"," 39320"
"2015F","US","FSICB"," 0"," 0"," 0"," 47004"," 46188"," 53556"," 60408"," 57192"," 59064"," 59910"," 75384"," 96948"," 88068"," 74568"," 86250"," 94338"," 104688"," 105624"," 119868"," 78852"," 91920"," 42756"," 44604"," 54930"," 69396"," 75690"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2015F","US","FSICP"," 0"," 0"," 0"," 7834"," 7698"," 8926"," 10068"," 9532"," 9844"," 9985"," 12564"," 16158"," 14678"," 12428"," 14375"," 15723"," 17448"," 17604"," 19978"," 13142"," 15320"," 7126"," 7434"," 9155"," 11566"," 12615"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2015F","US","GDPRX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," 11034900"," 11525900"," 12065900"," 12559700"," 12682200"," 12908800"," 13271100"," 13773500"," 14234200"," 14613800"," 14873700"," 14830400"," 14418700"," 14783800"," 15020600"," 15354600"," 15612200"," 15982300"," 16397200"
"2015F","US","GECCB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2500"," 2754"," 2970"," 3186"," 3375"," 4234"," 4512"," 5320"," 5670"," 7116"," 7472"," 7572"," 8270"," 8753"," 11000"," 12000"," 13600"," 14000"," 14400"," 14800"," 16700"," 18500"," 19700"," 19700"," 19700"," 19700"," 19700"
"2015F","US","GEEGB"," 359"," 1001"," 1061"," 1760"," 2132"," 1978"," 1958"," 3300"," 4532"," 6422"," 5511"," 5739"," 15079"," 20422"," 25610"," 33780"," 37513"," 37382"," 30851"," 40262"," 52699"," 59437"," 50627"," 63910"," 80811"," 97421"," 107677"," 112270"," 106338"," 152239"," 160547"," 166626"," 166899"," 173073"," 160264"," 137957"," 148159"," 150398"," 150650"," 151621"," 143764"," 141981"," 147420"," 146045"," 148347"," 146903"," 144500"," 144674"," 146233"," 146485"," 148479"," 148811"," 148092"," 150506"," 150990"," 148336"
