"Data_Status","State","MSN","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"2015F","US","AVTCB"," 297903"," 290396"," 262915"," 253193"," 235025"," 221592"," 194091"," 166099"," 154590"," 128981"," 100470"," 90319"," 85437"," 83448"," 81853"," 71010"," 67451"," 70329"," 71454"," 70314"," 64347"," 56270"," 46977"," 47673"," 43877"," 50324"," 58925"," 45639"," 48991"," 47587"," 44978"," 41722"," 41055"," 38395"," 38138"," 39581"," 37355"," 39697"," 35498"," 39172"," 36285"," 34937"," 33731"," 30222"," 31242"," 35366"," 33448"," 31590"," 28284"," 26558"," 27047"," 27057"," 25114"," 22358"," 21696"," 21141"
"2015F","US","AVTCP"," 59014"," 57527"," 52083"," 50157"," 46558"," 43897"," 38449"," 32904"," 30624"," 25551"," 19903"," 17892"," 16925"," 16531"," 16215"," 14067"," 13362"," 13932"," 14155"," 13929"," 12747"," 11147"," 9306"," 9444"," 8692"," 9969"," 11673"," 9041"," 9705"," 9427"," 8910"," 8265"," 8133"," 7606"," 7555"," 7841"," 7400"," 7864"," 7032"," 7760"," 7188"," 6921"," 6682"," 5987"," 6189"," 7006"," 6626"," 6258"," 5603"," 5261"," 5358"," 5360"," 4975"," 4429"," 4298"," 4188"
"2015F","US","AVTXB"," 297903"," 290396"," 262915"," 253193"," 235025"," 221592"," 194091"," 166099"," 154590"," 128981"," 100470"," 90319"," 85437"," 83448"," 81853"," 71010"," 67451"," 70329"," 71454"," 70314"," 64347"," 56270"," 46977"," 47673"," 43877"," 50324"," 58925"," 45639"," 48991"," 47587"," 44978"," 41722"," 41055"," 38395"," 38138"," 39581"," 37355"," 39697"," 35498"," 39172"," 36285"," 34937"," 33731"," 30222"," 31242"," 35366"," 33448"," 31590"," 28284"," 26558"," 27047"," 27057"," 25114"," 22358"," 21696"," 21141"
"2015F","US","AVTXP"," 59014"," 57527"," 52083"," 50157"," 46558"," 43897"," 38449"," 32904"," 30624"," 25551"," 19903"," 17892"," 16925"," 16531"," 16215"," 14067"," 13362"," 13932"," 14155"," 13929"," 12747"," 11147"," 9306"," 9444"," 8692"," 9969"," 11673"," 9041"," 9705"," 9427"," 8910"," 8265"," 8133"," 7606"," 7555"," 7841"," 7400"," 7864"," 7032"," 7760"," 7188"," 6921"," 6682"," 5987"," 6189"," 7006"," 6626"," 6258"," 5603"," 5261"," 5358"," 5360"," 4975"," 4429"," 4298"," 4188"
"2015F","US","BMTCB"," 1319871"," 1294762"," 1300242"," 1323316"," 1336802"," 1334761"," 1368986"," 1340249"," 1419494"," 1440488"," 1430962"," 1432323"," 1503065"," 1529068"," 1539661"," 1498733"," 1713373"," 1838332"," 2037605"," 2151906"," 2471691"," 2599746"," 2664743"," 2904414"," 2971603"," 3016233"," 2932095"," 2877576"," 3016049"," 3159354"," 2736982"," 2781799"," 2931673"," 2906004"," 3027532"," 3101141"," 3156805"," 3102838"," 2927489"," 2963292"," 3008229"," 2625395"," 2698515"," 2804726"," 3004598"," 3100638"," 3228406"," 3438829"," 3811465"," 3898016"," 4235786"," 4290667"," 4249844"," 4464695"," 4623932"," 4516058"
"2015F","US","CCNIB","-5630","-7886","-5506","-7390","-10441","-18451","-24949","-15326","-17310","-36109","-57660","-33108","-25966","-7465"," 56098"," 13541","-99"," 14582"," 124719"," 62843","-35030","-15949","-21656","-15636","-11488","-13492","-16754"," 8630"," 39551"," 30404"," 4778"," 9688"," 34625"," 27110"," 58329"," 61061"," 22811"," 46440"," 67095"," 57692"," 65363"," 29260"," 60758"," 50515"," 137762"," 44191"," 60787"," 25191"," 40772","-23811","-6171"," 11104"," 3983","-17422","-21560","-17781"
"2015F","US","CCNIP","-227","-318","-222","-298","-421","-744","-1006","-618","-698","-1456","-2325","-1335","-1047","-301"," 2262"," 546","-4"," 588"," 5029"," 2534","-1413","-643","-873","-630","-463","-544","-676"," 348"," 1595"," 1226"," 193"," 391"," 1396"," 1093"," 2352"," 2462"," 920"," 1873"," 2705"," 2326"," 2636"," 1180"," 2450"," 2037"," 5555"," 1782"," 2451"," 1016"," 1644","-960","-249"," 448"," 161","-703","-869","-717"
"2015F","US","CLACB"," 75624"," 19096"," 17032"," 16593"," 17586"," 16135"," 14898"," 11351"," 10139"," 7502"," 6917"," 4738"," 3705"," 2633"," 1801"," 542"," 273"," 204"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2015F","US","CLACP"," 3046"," 770"," 687"," 670"," 711"," 655"," 609"," 467"," 417"," 313"," 298"," 207"," 163"," 116"," 80"," 24"," 12"," 9"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2015F","US","CLCCB"," 401969"," 366139"," 357649"," 314331"," 271710"," 262503"," 260256"," 223054"," 205459"," 192705"," 163002"," 177549"," 152546"," 159585"," 173737"," 145705"," 144001"," 147778"," 164620"," 150807"," 116684"," 137034"," 155495"," 161912"," 169172"," 137630"," 135642"," 127108"," 131184"," 115299"," 123829"," 115432"," 116757"," 116507"," 117116"," 116329"," 120065"," 128728"," 100594"," 101615"," 85811"," 88293"," 87814"," 82868"," 102859"," 95743"," 64346"," 70384"," 80427"," 73249"," 69590"," 61732"," 43654"," 41479"," 40461"," 31071"
"2015F","US","CLCCP"," 16789"," 15293"," 14972"," 13211"," 11409"," 11041"," 11002"," 9518"," 8793"," 8305"," 7090"," 7753"," 6674"," 7004"," 7764"," 6587"," 6330"," 6447"," 7323"," 6710"," 5097"," 6085"," 6839"," 7096"," 7395"," 6068"," 5904"," 5324"," 5561"," 4872"," 5379"," 4997"," 5045"," 5101"," 5111"," 5052"," 5285"," 5752"," 4322"," 4293"," 3673"," 3888"," 3912"," 3685"," 4610"," 4342"," 2936"," 3173"," 3506"," 3210"," 3081"," 2793"," 2045"," 1951"," 1887"," 1503"
"2015F","US","CLEIB"," 4226595"," 4355064"," 4622438"," 5050061"," 5379761"," 5821355"," 6301552"," 6444876"," 6993577"," 7219168"," 7228006"," 7299249"," 7842523"," 8659920"," 8538706"," 8789280"," 9730659"," 10258749"," 10253442"," 11270255"," 12157926"," 12622872"," 12537754"," 13184982"," 13961625"," 14586431"," 14418435"," 15114830"," 15886154"," 16135278"," 16258995"," 16247935"," 16463621"," 17194422"," 17259079"," 17465065"," 18427577"," 18902863"," 19215808"," 19279063"," 20219797"," 19613575"," 19782944"," 20183337"," 20303713"," 20735427"," 20459989"," 20805249"," 20510599"," 18223766"," 19133366"," 18035415"," 15821257"," 16450431"," 16427232"," 14138235"
"2015F","US","CLEIP"," 176685"," 182185"," 193316"," 211332"," 225425"," 244788"," 266477"," 274185"," 297779"," 310641"," 320182"," 327301"," 351768"," 389212"," 391811"," 405962"," 448371"," 477126"," 481235"," 527051"," 569274"," 596797"," 593666"," 625211"," 664399"," 693841"," 685056"," 717894"," 758372"," 772190"," 782567"," 783874"," 795094"," 831645"," 838354"," 850230"," 896921"," 921364"," 936619"," 940922"," 985821"," 964433"," 977507"," 1005063"," 1016208"," 1037419"," 1026571"," 1045056"," 1040483"," 933539"," 975052"," 932484"," 823551"," 857962"," 851602"," 738444"
"2015F","US","CLICB"," 4547884"," 4350831"," 4392800"," 4599452"," 4923268"," 5134435"," 5223593"," 4942087"," 4866866"," 4718533"," 4663514"," 3951081"," 3995678"," 4044258"," 3855006"," 3657641"," 3642139"," 3442911"," 3302449"," 3582888"," 3155354"," 3147737"," 2543952"," 2489325"," 2843097"," 2777190"," 2646289"," 2669971"," 2831324"," 2773940"," 2753900"," 2600434"," 2511793"," 2499623"," 2506697"," 2500067"," 2438143"," 2396101"," 2254489"," 2187568"," 2259324"," 2193574"," 2020119"," 2044047"," 2046302"," 1953954"," 1913516"," 1864461"," 1791789"," 1394326"," 1625426"," 1566710"," 1516013"," 1546861"," 1528884"," 1379678"
"2015F","US","CLICP"," 177402"," 170098"," 171741"," 180024"," 192369"," 200846"," 205076"," 194645"," 191648"," 186586"," 186637"," 158866"," 160624"," 162139"," 155094"," 147244"," 146491"," 139202"," 134479"," 145085"," 127003"," 128410"," 105004"," 103013"," 117767"," 116429"," 111446"," 112052"," 118140"," 116643"," 115207"," 109259"," 106408"," 106215"," 106919"," 106067"," 103395"," 101718"," 95628"," 92846"," 94147"," 91344"," 84403"," 85509"," 85865"," 83774"," 82429"," 79331"," 76463"," 60641"," 70381"," 67671"," 63589"," 64529"," 64243"," 58167"
"2015F","US","CLKCB"," 2180349"," 1987969"," 2000581"," 2091438"," 2390576"," 2552406"," 2582365"," 2485301"," 2444894"," 2502344"," 2584122"," 2229205"," 2349983"," 2519980"," 2415134"," 2238950"," 2268478"," 2082406"," 1912597"," 2072555"," 1785716"," 1634799"," 1096201"," 992417"," 1179737"," 1100196"," 961026"," 988279"," 1122560"," 1085642"," 1041846"," 907260"," 867397"," 839450"," 850640"," 884699"," 849714"," 809440"," 773092"," 770879"," 793680"," 715129"," 648778"," 665003"," 649166"," 615998"," 603030"," 597930"," 580198"," 403421"," 554747"," 563997"," 594238"," 616422"," 606019"," 562064"
"2015F","US","CLKCP"," 81385"," 74201"," 74682"," 78084"," 89249"," 95286"," 96407"," 92800"," 91297"," 93444"," 96481"," 83230"," 87746"," 94101"," 90191"," 83598"," 84704"," 77739"," 71394"," 77368"," 66656"," 61014"," 40907"," 37033"," 44022"," 41056"," 35862"," 36877"," 41888"," 40508"," 38877"," 33854"," 32366"," 31323"," 31740"," 33011"," 31706"," 30203"," 28189"," 28108"," 28939"," 26075"," 23656"," 24248"," 23670"," 23434"," 22957"," 22715"," 22070"," 15326"," 21092"," 21434"," 20751"," 21474"," 21297"," 19708"
"2015F","US","CLOCB"," 2367535"," 2362862"," 2392219"," 2508014"," 2532692"," 2582030"," 2641228"," 2456786"," 2421972"," 2216189"," 2079392"," 1721875"," 1645695"," 1524278"," 1439872"," 1418691"," 1373661"," 1360504"," 1389852"," 1510333"," 1369639"," 1512939"," 1447751"," 1496908"," 1663360"," 1676994"," 1685264"," 1681692"," 1708764"," 1688297"," 1712054"," 1693175"," 1644396"," 1660172"," 1656056"," 1615368"," 1588428"," 1586661"," 1481397"," 1416689"," 1465644"," 1478445"," 1371341"," 1379044"," 1397136"," 1337956"," 1310486"," 1266531"," 1211592"," 990905"," 1070679"," 1002713"," 921775"," 930439"," 922865"," 817615"
"2015F","US","CLOCP"," 96017"," 95897"," 97059"," 101940"," 103120"," 105560"," 108669"," 101845"," 100351"," 93142"," 90156"," 75636"," 72878"," 68038"," 64903"," 63646"," 61787"," 61463"," 63085"," 67717"," 60347"," 67395"," 64097"," 65980"," 73745"," 75372"," 75583"," 75175"," 76252"," 76134"," 76330"," 75405"," 74042"," 74892"," 75179"," 73055"," 71689"," 71515"," 67439"," 64738"," 65208"," 65268"," 60747"," 61261"," 62195"," 60340"," 59472"," 56615"," 54393"," 45314"," 49289"," 46238"," 42838"," 43055"," 42946"," 38459"
"2015F","US","CLRCB"," 578443"," 526883"," 514666"," 434076"," 375218"," 347969"," 344991"," 295676"," 261494"," 245260"," 207457"," 170586"," 115079"," 93725"," 81758"," 62445"," 58817"," 57469"," 49172"," 37702"," 31017"," 30081"," 31848"," 30840"," 39682"," 38819"," 40517"," 37967"," 37001"," 30649"," 30957"," 25339"," 25630"," 25575"," 20667"," 17382"," 16372"," 15910"," 12433"," 13857"," 10606"," 10913"," 11975"," 12383"," 11429"," 8325"," 6364"," 7820"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2015F","US","CLRCP"," 24159"," 22006"," 21544"," 18243"," 15756"," 14635"," 14585"," 12616"," 11190"," 10569"," 9024"," 7448"," 5034"," 4113"," 3653"," 2823"," 2586"," 2507"," 2188"," 1678"," 1355"," 1336"," 1401"," 1352"," 1735"," 1711"," 1763"," 1590"," 1569"," 1295"," 1345"," 1097"," 1107"," 1120"," 902"," 755"," 721"," 711"," 534"," 585"," 454"," 481"," 533"," 551"," 512"," 378"," 290"," 353"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2015F","US","CLTCB"," 9830513"," 9618013"," 9904585"," 10414512"," 10967543"," 11582398"," 12145291"," 11917043"," 12337535"," 12383168"," 12268895"," 11603202"," 12109530"," 12960121"," 12651009"," 12655613"," 13575890"," 13907111"," 13769684"," 15041652"," 15460982"," 15937724"," 15269049"," 15867060"," 17013578"," 17540071"," 17240884"," 17949877"," 18885663"," 19055165"," 19167682"," 18989140"," 19117802"," 19836126"," 19903559"," 20098843"," 21002157"," 21443603"," 21583324"," 21582103"," 22575538"," 21906355"," 21902852"," 22322634"," 22464302"," 22793450"," 22444214"," 22747914"," 22382816"," 19691342"," 20828382"," 19663856"," 17380923"," 18038771"," 17996577"," 15548985"
"2015F","US","CLTCP"," 398081"," 390352"," 402260"," 423480"," 445670"," 471965"," 497749"," 491431"," 509827"," 516414"," 523231"," 501575"," 524263"," 562584"," 558402"," 562640"," 603790"," 625291"," 625225"," 680524"," 702729"," 732627"," 706910"," 736672"," 791296"," 818049"," 804169"," 836860"," 883642"," 895000"," 904498"," 899227"," 907655"," 944081"," 951286"," 962104"," 1006321"," 1029544"," 1037103"," 1038646"," 1084095"," 1060146"," 1066355"," 1094808"," 1107195"," 1125912"," 1112227"," 1127912"," 1120452"," 997390"," 1048514"," 1002948"," 889185"," 924442"," 917732"," 798115"
"2015F","US","CLTXB"," 5603919"," 5262949"," 5282147"," 5364451"," 5587782"," 5761043"," 5843739"," 5472167"," 5343958"," 5164000"," 5040889"," 4303953"," 4267007"," 4300200"," 4112302"," 3866334"," 3845230"," 3648362"," 3516242"," 3771397"," 3303056"," 3314852"," 2731296"," 2682078"," 3051952"," 2953639"," 2822448"," 2835047"," 2999509"," 2919887"," 2908687"," 2741205"," 2654180"," 2641704"," 2644480"," 2633778"," 2574580"," 2540739"," 2367516"," 2303040"," 2355741"," 2292780"," 2119908"," 2139297"," 2160590"," 2058023"," 1984225"," 1942665"," 1872217"," 1467575"," 1695016"," 1628442"," 1559666"," 1588340"," 1569345"," 1410749"
"2015F","US","CLTXP"," 221396"," 208167"," 208944"," 212148"," 220245"," 227177"," 231272"," 217246"," 212048"," 205773"," 203049"," 174274"," 172495"," 173372"," 166591"," 156678"," 155419"," 148165"," 143990"," 153473"," 133455"," 135831"," 113244"," 111461"," 126897"," 124208"," 119113"," 118966"," 125270"," 122810"," 121931"," 115353"," 112561"," 112436"," 112932"," 111873"," 109400"," 108181"," 100484"," 97725"," 98274"," 95713"," 88848"," 89745"," 90987"," 88493"," 85656"," 82857"," 79968"," 63851"," 73462"," 70464"," 65634"," 66480"," 66130"," 59671"
"2015F","US","COICB"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 140354"," 134995"," 127971"," 103275"," 72483"," 85243"," 58696"," 50883"," 38947"," 27364"," 21153"," 18682"," 14535"," 13729"," 4623"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2015F","US","COICP"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 24199"," 23275"," 22064"," 17806"," 12497"," 14697"," 10120"," 8773"," 6715"," 4718"," 3647"," 3221"," 2506"," 2367"," 797"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"2015F","US","DFACB"," 891941"," 891644"," 965274"," 1067366"," 1133358"," 1093303"," 1163655"," 1157939"," 1392015"," 1498495"," 1568925"," 1700565"," 1941116"," 2222022"," 2202345"," 2121012"," 2288198"," 2488717"," 2679341"," 2905157"," 2794834"," 2901346"," 2789510"," 2905391"," 2947836"," 3170074"," 3217908"," 3334545"," 3626119"," 3686504"," 3661134"," 3600618"," 3683913"," 3795822"," 4028540"," 4191382"," 4465494"," 4668258"," 4806575"," 4995878"," 5159213"," 5286255"," 5386829"," 5583956"," 5925059"," 6068261"," 6390016"," 6411418"," 5792125"," 5541626"," 5828040"," 6003841"," 5742286"," 5904501"," 6163995"," 6261548"
"2015F","US","DFACP"," 153123"," 153072"," 165712"," 183239"," 194568"," 187692"," 199769"," 198788"," 238973"," 257252"," 269343"," 291943"," 333239"," 381463"," 378085"," 364122"," 392824"," 427248"," 459973"," 498739"," 479800"," 498085"," 478886"," 498780"," 506066"," 544219"," 552431"," 572454"," 622510"," 632876"," 628521"," 618132"," 632431"," 651643"," 692189"," 720169"," 767267"," 802106"," 826014"," 858546"," 886615"," 908447"," 925731"," 959608"," 1018401"," 1043015"," 1101157"," 1108475"," 1002098"," 958593"," 1008835"," 1039806"," 995024"," 1023488"," 1068654"," 1085567"
"2015F","US","DFCCB"," 493587"," 504339"," 525940"," 523210"," 509194"," 534451"," 528905"," 552321"," 573682"," 573017"," 587490"," 594711"," 631688"," 643586"," 595633"," 586643"," 655903"," 676089"," 665642"," 583512"," 517728"," 457123"," 439656"," 651465"," 735168"," 630887"," 623384"," 607483"," 599889"," 573707"," 535830"," 517367"," 506666"," 493037"," 500513"," 478472"," 482505"," 443434"," 428401"," 437988"," 490457"," 507839"," 443627"," 495513"," 469753"," 446955"," 399722"," 381217"," 383906"," 395119"," 391119"," 391311"," 354976"," 343244"," 356216"," 359712"
"2015F","US","DFCCP"," 84736"," 86582"," 90290"," 89821"," 87415"," 91751"," 90799"," 94819"," 98486"," 98372"," 100857"," 102096"," 108444"," 110487"," 102255"," 100711"," 112601"," 116067"," 114273"," 100174"," 88880"," 78476"," 75477"," 111839"," 126209"," 108307"," 107019"," 104289"," 102985"," 98491"," 91988"," 88818"," 86981"," 84641"," 85999"," 82212"," 82905"," 76191"," 73621"," 75269"," 84285"," 87273"," 76238"," 85154"," 80741"," 76823"," 68882"," 65909"," 66420"," 68348"," 67703"," 67771"," 61510"," 59498"," 61757"," 62363"
"2015F","US","DFEIB"," 22273"," 21599"," 22775"," 24658"," 25107"," 28707"," 36759"," 43062"," 57261"," 87149"," 140518"," 199701"," 260049"," 237131"," 279354"," 208133"," 219075"," 247432"," 250558"," 160299"," 157890"," 120012"," 86791"," 96184"," 88483"," 85247"," 83448"," 89512"," 109329"," 152356"," 96504"," 83640"," 73531"," 86496"," 119963"," 107976"," 109300"," 110514"," 135581"," 139992"," 174665"," 170347"," 127298"," 160789"," 111164"," 114470"," 73388"," 88650"," 72524"," 69574"," 79665"," 63633"," 52404"," 55372"," 82105"," 70327"
"2015F","US","DFEIP"," 3824"," 3708"," 3910"," 4233"," 4310"," 4928"," 6311"," 7393"," 9830"," 14961"," 24123"," 34283"," 44644"," 40709"," 47958"," 35731"," 37609"," 42478"," 43014"," 27519"," 27105"," 20603"," 14900"," 16512"," 15190"," 14635"," 14326"," 15367"," 18769"," 26156"," 16567"," 14359"," 12623"," 14849"," 20612"," 18553"," 18780"," 18989"," 23300"," 24058"," 30016"," 29274"," 21876"," 27632"," 19107"," 19675"," 12646"," 15327"," 12547"," 12035"," 13790"," 11021"," 9080"," 9598"," 14235"," 12193"
"2015F","US","DFICB"," 1015690"," 1017509"," 1064445"," 1054528"," 1071086"," 1150131"," 1222888"," 1234048"," 1224129"," 1246936"," 1226166"," 1266412"," 1380962"," 1468671"," 1346081"," 1338963"," 1529658"," 1719435"," 1749891"," 1764272"," 1323712"," 1388569"," 1312782"," 1142275"," 1203008"," 1119180"," 1160104"," 1141196"," 1129714"," 1139059"," 1150484"," 1077931"," 1107068"," 1116843"," 1109550"," 1130029"," 1185859"," 1202020"," 1210213"," 1185928"," 1199109"," 1298523"," 1203078"," 1169461"," 1212961"," 1262041"," 1258083"," 1255986"," 1348101"," 1073312"," 1153134"," 1235579"," 1270820"," 1265301"," 1364850"," 1168820"
"2015F","US","DFICP"," 174367"," 174680"," 182737"," 181035"," 183877"," 197447"," 209938"," 211854"," 210151"," 214066"," 210501"," 217410"," 237075"," 252132"," 231087"," 229865"," 262602"," 295182"," 300410"," 302879"," 227247"," 238381"," 225370"," 196099"," 206525"," 192134"," 199160"," 195913"," 193942"," 195547"," 197508"," 185052"," 190055"," 191733"," 190644"," 194163"," 203756"," 206533"," 207976"," 203803"," 206068"," 223152"," 206750"," 200973"," 208484"," 216920"," 216799"," 217148"," 233235"," 185662"," 199608"," 213990"," 220208"," 219328"," 236624"," 202639"
