"","Data_Status","State","year","CLTCB","FFTCB","GETCB","HYTCB","MGTCB","NGTCB","SOTCB","WYTCB","coal.growth","fossil_fuel.growth","geothermal.growth","hydro.growth","motor_gas.growth","natural_gas.growth","solar.growth","wind.growth","GDPI","GDP.growth"
"31","2015F","US",1990,19167682,72351887,170747,3046391,13871812,19752485,58756,29007,1.01,0.99,1.06,1.07,0.99,1,1.08,1.32,8865.564,0.99
"32","2015F","US",1991,18989140,71877911,177626,3015943,13780951,20147768,61610,30796,0.99,0.99,1.04,0.99,0.99,1.02,1.05,1.06,9122.95,1.03
"33","2015F","US",1992,19117802,73401200,178699,2617436,13972523,20843610,62867,29863,1.01,1.02,1.01,0.87,1.01,1.03,1.02,0.97,9424.065,1.03
"34","2015F","US",1993,19836126,74808431,185573,2891613,14277343,21376406,65175,30987,1.04,1.02,1.04,1.1,1.02,1.03,1.04,1.04,9748.156,1.03
"35","2015F","US",1994,19903559,76279650,173477,2683457,14513404,21870095,67110,35560,1,1.02,0.93,0.93,1.02,1.02,1.03,1.15,10086.878,1.03
"36","2015F","US",1995,20098843,77324688,152057,3205307,14834017,22832593,68214,32630,1.01,1.01,0.88,1.19,1.02,1.04,1.02,0.92,10348.691,1.03
"37","2015F","US",1996,21002157,79853513,163359,3589656,15069339,23262444,69112,33440,1.04,1.03,1.07,1.12,1.02,1.02,1.01,1.02,10820.908,1.05
"38","2015F","US",1997,21443603,81023683,166598,3640457,15259862,23477148,68142,33581,1.02,1.01,1.02,1.01,1.01,1.01,0.99,1,11321.246,1.05
"39","2015F","US",1998,21583324,81382478,168480,3297054,15710172,23015631,67422,30853,1.01,1,1.01,0.91,1.03,0.98,0.99,0.92,11864.675,1.05
"40","2015F","US",1999,21582103,82404349,171885,3267575,16041663,23025697,66034,45894,1,1.01,1.02,0.99,1.02,1,0.98,1.49,12359.095,1.04
"41","2015F","US",2000,22575538,84725860,164399,2811116,16167436,23907237,63433,57057,1.05,1.03,0.96,0.86,1.01,1.04,0.96,1.24,12643.283,1.02
"42","2015F","US",2001,21906355,82876832,164460,2241858,16385829,22835551,61630,69617,0.97,0.98,1,0.8,1.01,0.96,0.97,1.22,12822.258,1.01
"43","2015F","US",2002,21902852,83707389,171164,2689017,16828711,23582195,59928,105334,1,1.01,1.04,1.2,1.03,1.03,0.97,1.51,13031.169,1.02
"44","2015F","US",2003,22322634,83991900,173445,2792539,16968216,22891393,58372,113273,1.02,1,1.01,1.04,1.01,0.97,0.97,1.08,13606.509,1.04
"45","2015F","US",2004,22464302,85765039,178147,2688468,17332743,22988315,58302,141664,1.01,1.02,1.03,0.96,1.02,1,1,1.25,14099.081,1.04
"46","2015F","US",2005,22793450,85718219,180703,2702942,17377595,22631800,57783,178088,1.01,1,1.01,1.01,1,0.98,0.99,1.26,14546.119,1.03
"47","2015F","US",2006,22444214,84566642,181200,2869035,17530910,22292657,60596,263738,0.98,0.99,1,1.06,1.01,0.99,1.05,1.48,14726.022,1.01
"48","2015F","US",2007,22747914,85949172,185774,2446389,17471682,23735125,65397,340503,1.01,1.02,1.03,0.85,1,1.06,1.08,1.29,14889.45,1.01
"49","2015F","US",2008,22382816,83188681,192433,2511108,16864832,23898175,73848,545548,0.98,0.97,1.04,1.03,0.97,1.01,1.13,1.6,14375.018,0.97
"50","2015F","US",2009,19691342,78056484,200185,2668824,16750307,23487297,77700,721129,0.88,0.94,1.04,1.06,0.99,0.98,1.05,1.32,14604.845,1.02
"51","2015F","US",2010,20828382,80889934,207979,2538541,16667616,24633507,90478,923427,1.06,1.04,1.04,0.95,1,1.05,1.16,1.28,14881.301,1.02
"52","2015F","US",2011,19663856,79484268,212311,3102852,16191013,25014983,110891,1167636,0.94,0.98,1.02,1.22,0.97,1.02,1.23,1.26,15291.035,1.03
"53","2015F","US",2012,17380923,77526699,211592,2628702,16088629,26138351,157023,1340059,0.88,0.98,1,0.85,0.99,1.04,1.42,1.15,15491.878,1.01
"54","2015F","US",2013,18038771,79531348,214006,2562382,16338562,26844986,225035,1601359,1.04,1.03,1.01,0.97,1.02,1.03,1.43,1.19,15757.57,1.02
"55","2015F","US",2014,17996577,80342065,214490,2466577,16475901,27438655,336793,1727542,1,1.01,1,0.96,1.01,1.02,1.5,1.08,16349.97,1.04
"56","2015F","US",2015,15548985,79434479,211836,2321177,16951536,28246361,426463,1777306,0.86,0.99,0.99,0.94,1.03,1.03,1.27,1.03,16571.573,1.01
