GDP,GDP.total,State,HYTCB,year
412155,15757.57,VT,12269,2013
289587,16349.97,VT,11177,2014
94599,16571.573,VT,10619,2015
257488,11321.246,WA,1063894,1997
40070,11864.675,WA,813870,1998
99891,12359.095,WA,991813,1999
122010,12643.283,WA,818762,2000
65831,12822.258,WA,565565,2001
496920,13031.169,WA,795189,2002
85016,13606.509,WA,726537,2003
1249602,14099.081,WA,716902,2004
431566,14546.119,WA,720674,2005
52522,14726.022,WA,813434,2006
541014,14889.45,WA,779148,2007
176092,14375.018,WA,765033,2008
192330,14604.845,WA,711823,2009
629469,14881.301,WA,666221,2010
49269,15291.035,WA,892101,2011
175277,15491.878,WA,851343,2012
39963,15757.57,WA,745678,2013
274060,16349.97,WA,755695,2014
1424694,16571.573,WA,684060,2015
126926,11321.246,WI,25362,1997
27036,11864.675,WI,17818,1998
423182,12359.095,WI,20294,1999
389372,12643.283,WI,20255,2000
66655,12822.258,WI,21247,2001
267318,13031.169,WI,25585,2002
35544,13606.509,WI,18663,2003
179161,14099.081,WI,19838,2004
49649,14546.119,WI,17400,2005
263475,14726.022,WI,16650,2006
108209,14889.45,WI,14985,2007
2245876,14375.018,WI,15925,2008
288015,14604.845,WI,13605,2009
227502,14881.301,WI,20603,2010
107181,15291.035,WI,20859,2011
795408,15491.878,WI,14562,2012
451827,15757.57,WI,18880,2013
72675,16349.97,WI,23507,2014
59068,16571.573,WI,21813,2015
689832,11321.246,WV,11630,1997
297657,11864.675,WV,11077,1998
160175,12359.095,WV,9513,1999
135621,12643.283,WV,11740,2000
170832,12822.258,WV,9836,2001
207783,13031.169,WV,10842,2002
51070,13606.509,WV,13730,2003
329175,14099.081,WV,13204,2004
438208,14546.119,WV,14474,2005
424257,14726.022,WV,15597,2006
294044,14889.45,WV,12398,2007
94762,14375.018,WV,12298,2008
261247,14604.845,WV,16064,2009
40999,14881.301,WV,13340,2010
101996,15291.035,WV,14118,2011
126318,15491.878,WV,13622,2012
67544,15757.57,WV,16590,2013
502536,16349.97,WV,11811,2014
86353,16571.573,WV,12907,2015
1275126,11321.246,WY,14101,1997
443278,11864.675,WY,13688,1998
51186,12359.095,WY,11967,1999
547136,12643.283,WY,10314,2000
181486,12822.258,WY,9084,2001
201467,13031.169,WY,5937,2002
644159,13606.509,WY,6010,2003
50184,14099.081,WY,5941,2004
180703,14546.119,WY,8083,2005
41089,14726.022,WY,8365,2006
282287,14889.45,WY,7210,2007
1484881,14375.018,WY,8231,2008
132109,14604.845,WY,9434,2009
27279,14881.301,WY,9989,2010
432332,15291.035,WY,11890,2011
403888,15491.878,WY,8502,2012
67126,15757.57,WY,6782,2013
272968,16349.97,WY,8261,2014
35768,16571.573,WY,8091,2015
